statut_v2,categorie,document,fichier,chemin_archive_finale,pages,taille_mo,md5,decision,justification,action_suivante,archive_v2_note
Finalisé certain,C1 / contrôles,C1 - corrigé écrit contrôle,ctrl_c1_v043_corriges_AB.pdf,01_VALIDES_CERTAINS/C1/ctrl_c1_v043_corriges_AB.pdf,9,0.227,88f339f2ce0d9b2b7e872e6cfc4f6578,Conserver comme modèle validé,Version validée comme référence de correction C1.,,repris depuis v1
Finalisé certain,C1 / contrôles,C1 - entraînement bac corrigé strict,05_entrainement_bac_C1_v5_corrige_STRICT_C1.pdf,01_VALIDES_CERTAINS/C1/05_entrainement_bac_C1_v5_corrige_STRICT_C1.pdf,3,0.262,e4d55a8663ab5e9f9543ca35908a3943,Conserver,Corrigé associé au Doc 5 v5 STRICT_C1.,,repris depuis v1
Finalisé certain,C1 / contrôles,C1 - entraînement bac énoncé strict,05_entrainement_bac_C1_v5_enonce_STRICT_C1.pdf,01_VALIDES_CERTAINS/C1/05_entrainement_bac_C1_v5_enonce_STRICT_C1.pdf,2,0.242,b1a7076c112544f5e02a03a60aca432b,Conserver,Doc 5 v5 STRICT_C1 validé.,,repris depuis v1
Finalisé certain,C1 / contrôles,C1 - feuille Python seuil,04_feuille_python_seuil.pdf,01_VALIDES_CERTAINS/C1/04_feuille_python_seuil.pdf,1,0.204,3e4cdaf670901ab24181ab349dccf647,Conserver,Document explicitement validé comme exploitable.,,repris depuis v1
Finalisé certain,CPGE,MP X/ENS énoncés,MP_X_ENS_VALIDATION_PASS26.pdf,01_VALIDES_CERTAINS/CPGE/MP_X_ENS_VALIDATION_PASS26.pdf,58,0.597,aa2ec56a430a190c49d5cba160dce071,Conserver,Nom VALIDATION_PASS26 et cohérence avec règle finale X/ENS.,,repris depuis v1
Finalisé certain,Source / modèle,Feuille-méthode point fixe v4,feuille_methode_point_fixe_v4.pdf,01_VALIDES_CERTAINS/MODELES/feuille_methode_point_fixe_v4.pdf,1,0.17,6e4402f1b9a628518dc63e8e94f92c4f,Conserver comme modèle durable,Document validé comme modèle prioritaire de feuille-méthode.,,repris depuis v1
Finalisé certain,Source / modèle,Modèle tableaux signe/variation TikZ,tableaux_signe_variation_pro_tikz_lignes_corrigees.pdf,01_VALIDES_CERTAINS/MODELES/tableaux_signe_variation_pro_tikz_lignes_corrigees.pdf,3,0.152,6ad2308e99073e3dd99d9800c1e59af9,Conserver comme modèle durable,Modèle validé pour les tableaux professionnels.,,repris depuis v1
Finalisé certain,TSTMG / STMG,TSTMG - feuilles guidées élèves,Feuilles_guidees_TSTMG_eleves_FINAL_sommaire_cliquable.pdf,01_VALIDES_CERTAINS/TSTMG/Feuilles_guidees_TSTMG_eleves_FINAL_sommaire_cliquable.pdf,13,1.498,5a1d1846708b46f234dfa2015f001248,Conserver comme version finale élèves,Nom FINAL + sommaire cliquable ; cohérent avec les dernières consignes TSTMG.,,repris depuis v1
Finalisé certain,TSTMG / STMG,TSTMG - évaluation élèves,Evaluation_TSTMG_eleves_FINAL_sans_cercles.pdf,01_VALIDES_CERTAINS/TSTMG/Evaluation_TSTMG_eleves_FINAL_sans_cercles.pdf,12,0.208,3979bdfd8fd2fadce0b1920a64948664,Conserver comme version finale élèves,Nom FINAL + correction de la consigne sans cercles autour des événements.,,repris depuis v1
Finalisé probable,C1 / contrôles,C1 - Beamer automatismes,03_corrige_automatismes_C1_beamer_v3_progressif.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/C1/03_corrige_automatismes_C1_beamer_v3_progressif.pdf,20,0.148,e239454d34be3aace1575b981c5305d2,Conserver,"Version progressive 20 pages, une réponse nouvelle par diapo.",,repris depuis v1
Finalisé probable,C1 / contrôles,C1 - Beamer correction contrôle,ctrl_c1_v055_beamer_correction.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/C1/ctrl_c1_v055_beamer_correction.pdf,144,0.43,0fd94487f8c3c5546f9968bbd9daf8f3,Conserver comme meilleure version locale,Version la plus avancée en pages et numérotation ; conforme au principe de correction progressive.,,repris depuis v1
Finalisé probable,C1 / contrôles,C1 - automatismes QCM,03_automatismes_C1_QCM_v2.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/C1/03_automatismes_C1_QCM_v2.pdf,2,0.212,ee43925c2dbe342987954fefdb581ed7,Conserver,"Version à 20 questions, conforme aux consignes validées.",,repris depuis v1
